지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
102,백령도,2023-06-09 12:00,16.8,,5,95
102,백령도,2023-06-09 13:00,18.6,,5.2,83
102,백령도,2023-06-09 14:00,16.7,,7.6,94
102,백령도,2023-06-09 15:00,16.4,,7.2,94
102,백령도,2023-06-09 16:00,16.5,,7.1,94
102,백령도,2023-06-09 17:00,16.5,,6.3,95
102,백령도,2023-06-09 18:00,15.8,,5.3,97
102,백령도,2023-06-09 19:00,15.7,,4.4,97
102,백령도,2023-06-09 20:00,15.8,,2,98
102,백령도,2023-06-09 21:00,15.7,,1.6,97
102,백령도,2023-06-09 22:00,15.7,,1.4,96
102,백령도,2023-06-09 23:00,16,,2.8,94
102,백령도,2023-06-10 00:00,16.6,,3.5,92
102,백령도,2023-06-10 01:00,16.7,,5.3,91
102,백령도,2023-06-10 02:00,16.2,,3.8,92
102,백령도,2023-06-10 03:00,16.1,,4.1,95
102,백령도,2023-06-10 04:00,16.3,,4.6,96
102,백령도,2023-06-10 05:00,16,,2.9,98
102,백령도,2023-06-10 06:00,16,,2.4,98
102,백령도,2023-06-10 07:00,17,,1.9,98
102,백령도,2023-06-10 08:00,16.9,,4.7,98
102,백령도,2023-06-10 09:00,16.9,,3.4,98
102,백령도,2023-06-10 10:00,17.7,,3.3,93
102,백령도,2023-06-10 11:00,18.9,,3.4,90
102,백령도,2023-06-10 12:00,20.5,,2.8,82
102,백령도,2023-06-10 13:00,18.5,,5.2,88
102,백령도,2023-06-10 14:00,17.6,0,4,93
102,백령도,2023-06-10 15:00,18.4,.6,7.7,91
102,백령도,2023-06-10 16:00,17.6,2.6,4.7,94
102,백령도,2023-06-10 17:00,18.2,.7,1.1,93
102,백령도,2023-06-10 18:00,16.4,1.6,2.3,97
102,백령도,2023-06-10 19:00,15.7,1.2,2.6,94
102,백령도,2023-06-10 20:00,15.9,,2.6,91
102,백령도,2023-06-10 21:00,15.7,,2.5,94
102,백령도,2023-06-10 22:00,16.4,,1.8,90
102,백령도,2023-06-10 23:00,16.1,1.5,2.6,91
102,백령도,2023-06-11 00:00,15.9,2.8,3.5,95
102,백령도,2023-06-11 01:00,15.9,.2,2.8,93
102,백령도,2023-06-11 02:00,15.7,,2.7,95
102,백령도,2023-06-11 03:00,15.1,,1.6,97
102,백령도,2023-06-11 04:00,15.4,,1.4,98
102,백령도,2023-06-11 05:00,15,,1.6,97
102,백령도,2023-06-11 06:00,15,,1.5,97
102,백령도,2023-06-11 07:00,17.1,,.8,89
102,백령도,2023-06-11 08:00,19,,1.5,75
102,백령도,2023-06-11 09:00,18.9,,2.8,79
102,백령도,2023-06-11 10:00,20.5,,2.1,68
102,백령도,2023-06-11 11:00,22.1,,1.5,61
102,백령도,2023-06-11 12:00,22.8,,1.2,52
102,백령도,2023-06-11 13:00,23.4,,2.3,52
102,백령도,2023-06-11 14:00,21.7,,3.6,59
102,백령도,2023-06-11 15:00,20.1,,5.5,74
102,백령도,2023-06-11 16:00,18.7,,6.5,79
102,백령도,2023-06-11 17:00,18.4,,6.2,82
102,백령도,2023-06-11 18:00,18,,4.9,85
102,백령도,2023-06-11 19:00,16.4,,5.3,89
102,백령도,2023-06-11 20:00,16,,2.5,89
102,백령도,2023-06-11 21:00,15.2,,2.2,90
102,백령도,2023-06-11 22:00,15.3,,2.3,87
102,백령도,2023-06-11 23:00,15.1,,1.7,85
102,백령도,2023-06-12 00:00,16.3,,1.3,71
102,백령도,2023-06-12 01:00,15.9,,1.3,74
102,백령도,2023-06-12 02:00,17,,.5,65
102,백령도,2023-06-12 03:00,18.3,,.1,58
102,백령도,2023-06-12 04:00,15.6,,1.7,75
